,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
33,03/12/2022,0,0,206110.64705882352,2348003.0,1781940.5294117648,1952148.0,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431327,0
34,03/13/2022,0,0,207177.66666666666,2352644.6666666665,1784433.0,1953911.6666666667,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
35,03/14/2022,0,0,208244.68627450982,2357286.3333333335,1786925.4705882352,1955675.3333333333,1763.6666666665114,2492.4705882351846,4641.666666666977,1067.0196078431618,0
36,03/15/2022,0,0,209311.70588235295,2361928.0,1789417.9411764706,1957439.0,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431327,0
37,03/16/2022,0,0,210378.72549019608,2366569.6666666665,1791910.4117647058,1959202.6666666667,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
38,03/17/2022,0,0,211445.74509803922,2371211.3333333335,1794402.8823529412,1960966.3333333333,1763.6666666665114,2492.4705882354174,4641.666666666977,1067.0196078431327,0
39,03/18/2022,0,0,212512.76470588235,2375853.0,1796895.3529411764,1962730.0,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
40,03/19/2022,0,0,213579.78431372548,2380494.6666666665,1799387.8235294118,1964493.6666666667,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431327,0
41,03/20/2022,0,0,214646.80392156861,2385136.3333333335,1801880.294117647,1966257.3333333333,1763.6666666665114,2492.4705882351846,4641.666666666977,1067.0196078431327,0
42,03/21/2022,0,0,215713.82352941175,2389778.0,1804372.7647058824,1968021.0,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431327,0
43,03/22/2022,0,0,216780.8431372549,2394419.6666666665,1806865.2352941176,1969784.6666666667,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431618,0
44,03/23/2022,0,0,217847.86274509804,2399061.3333333335,1809357.705882353,1971548.3333333333,1763.6666666665114,2492.4705882354174,4641.666666666977,1067.0196078431327,0
45,03/24/2022,0,0,218914.88235294117,2403703.0,1811850.1764705882,1973312.0,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
46,03/25/2022,0,0,219981.9019607843,2408344.6666666665,1814342.6470588236,1975075.6666666667,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431327,0
47,03/26/2022,0,0,221048.92156862744,2412986.3333333335,1816835.1176470588,1976839.3333333333,1763.6666666665114,2492.4705882351846,4641.666666666977,1067.0196078431327,0
48,03/27/2022,0,0,222115.9411764706,2417628.0,1819327.5882352942,1978603.0,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431618,0
49,03/28/2022,0,0,223182.96078431373,2422269.6666666665,1821820.0588235294,1980366.6666666667,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
50,03/29/2022,0,0,224249.98039215687,2426911.3333333335,1824312.5294117648,1982130.3333333333,1763.6666666665114,2492.4705882354174,4641.666666666977,1067.0196078431327,0
51,03/30/2022,0,0,225877.07222889157,2433279.3690476194,1828888.218187275,1987869.7976190476,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
52,03/31/2022,0,0,227504.16406562628,2439647.4047619053,1833463.9069627854,1993609.261904762,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
53,04/01/2022,0,0,229131.25590236098,2446015.440476191,1838039.5957382957,1999348.7261904762,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
54,04/02/2022,0,0,230758.34773909568,2452383.476190477,1842615.284513806,2005088.1904761905,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
55,04/03/2022,0,0,232385.4395758304,2458751.511904763,1847190.9732893163,2010827.6547619049,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
56,04/04/2022,0,0,234012.5314125651,2465119.547619049,1851766.6620648266,2016567.1190476192,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
57,04/05/2022,0,0,235639.6232492998,2471487.583333335,1856342.3508403369,2022306.5833333335,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
58,04/06/2022,0,0,237266.7150860345,2477855.619047621,1860918.0396158472,2028046.0476190478,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
59,04/07/2022,0,0,238893.8069227692,2484223.6547619067,1865493.7283913575,2033785.5119047621,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
60,04/08/2022,0,0,240520.8987595039,2490591.6904761926,1870069.4171668678,2039524.9761904764,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
61,04/09/2022,0,0,242147.9905962386,2496959.7261904785,1874645.105942378,2045264.4404761908,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
62,04/10/2022,0,0,243775.08243297332,2503327.7619047645,1879220.7947178883,2051003.904761905,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
63,04/11/2022,0,0,245402.17426970802,2509695.7976190504,1883796.4834933986,2056743.3690476194,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
64,04/12/2022,0,0,247029.26610644272,2516063.8333333363,1888372.172268909,2062482.8333333337,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
65,04/13/2022,0,0,248656.35794317743,2522431.869047622,1892947.8610444192,2068222.297619048,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
66,04/14/2022,0,0,250283.44977991213,2528799.904761908,1897523.5498199295,2073961.7619047624,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
67,04/15/2022,0,0,251910.54161664683,2535167.940476194,1902099.2385954398,2079701.2261904767,5739.464285714319,4575.688775510294,6368.035714285914,1627.091836734704,0
